seqname,tax_id
A00003262,g__Streptomyces
A00003266,g__Roseomonas
A00004478,g__Sinorhizobium_Ensifer
A00004330,f__Leptospiraceae
A00000768,g__Arthrobacter
A00000765,g__Aliivibrio
A00000764n0,g__Agrobacterium
A00000764n1,g__Agrobacterium
A00000767,f__Bacillaceae
A00000766,g__Anaeromyxobacter
A00000760,g__Acidithiobacillus
A00000763,g__Rhizobium
A00002799,f__Halothiobacillaceae
A00001968,f__Methanomicrobiaceae
A00001969,g__Methanococcus
A00001962,f__Halobacteriaceae
A00001963,f__Halobacteriaceae
A00001964,f__Halobacteriaceae
A00001965,g__Desulfurococcus
A00001966,g__Archaeoglobus
A00000163,g__Ureaplasma
A00000161n0,f__Entomoplasmataceae
A00000161n1,f__Entomoplasmataceae
A00000167n0,g__Mycoplasma
A00000167n1,g__Mycoplasma
A00000169,g__Ureaplasma
A00000189,g__Pasteurella
A00001363,g__Taylorella
A00001361,f__Helicobacteraceae
A00001367,f__Desulfurobacteriaceae
A00001364,g__Terriglobus
A00000181,g__Nitrosococcus
A00000180,g__Nitrobacter
A00000183,g__Nitrosomonas
A00000182,g__Nitrosomonas
A00000185,g__Nocardia
A00000184,f__Nitrosomonadaceae
A00000187,f__[Halobacillaceae]
A00000186,g__Anabaena_Nostoc
A00003458,f__Acetobacteraceae
A00001049,g__Crocosphaera
A00000505,g__Novosphingobium
A00000504,g__Mycoplasma
A00000507,g__Desulfotomaculum
A00000506,g__Orientia
A00000501,g__Mycobacterium
A00000500,g__Methanothermobacter
A00004084,f__Rhodobacteraceae
A00004086,g__Candidatus_Pelagibacter
A00004087,c__Gammaproteobacteria
A00000509,g__Chlorobium
A00000508,g__Polynucleobacter
A00001106,g__Planctomyces
A00001107,g__Prevotella
A00001104,g__Nocardiopsis
A00001102,f__Halobacteriaceae
A00001103,g__Nitrosococcus
A00000987,g__Acidaminococcus
A00001101n0,g__Mycoplasma
A00001101n1,g__Mycoplasma
A00000989,g__Anaplasma
A00001109,g__Rhodobacter
A00001296,f__Flavobacteriaceae
A00001297,f__Flavobacteriaceae
A00001295,g__Nitrospira
A00001291,f__Deferribacteraceae
A00001298,g__Peptoclostridium
A00001299,g__Deinococcus
A00002925,g__Streptococcus
A00001047,f__Promicromonosporaceae
A00002927,g__Frankia
A00002921,g__Yersinia
A00002923,g__Pseudomonas
A00002922,g__Streptococcus
A00001564,f__Micromonosporaceae
A00001565,g__Vibrio
A00001566,g__Weissella
A00004263,g__Oligella
A00001560,g__Treponema
A00001561,g__Treponema
A00001563,g__Treponema
A00004268,g__Rahnella
A00004269,g__Lachnoclostridium
